CODE,NAME,CATEGORY,DIRECTION,SEQUENCE
OP_01,销售产成品、商品、提供劳务收到的现金,OPERATING,INFLOW,1
OP_02,收到其他与经营活动有关的现金,OPERATING,INFLOW,2
OP_03,购买原材料、商品、接受劳务支付的现金,OPERATING,OUTFLOW,3
OP_04,支付的职工薪酬,OPERATING,OUTFLOW,4
OP_05,支付的税费,OPERATING,OUTFLOW,5
OP_06,支付其他与经营活动有关的现金,OPERATING,OUTFLOW,6
INV_01,收回短期投资、长期债券投资和长期股权投资收到的现金,INVESTING,INFLOW,7
INV_02,取得投资收益收到的现金,INVESTING,INFLOW,8
INV_03,处置固定资产、无形资产和其他非流动资产收回的现金净额,INVESTING,INFLOW,9
INV_04,短期投资、长期债券投资和长期股权投资支付的现金,INVESTING,OUTFLOW,10
INV_05,购建固定资产、无形资产和其他非流动资产支付的现金,INVESTING,OUTFLOW,11
FIN_01,取得借款收到的现金,FINANCING,INFLOW,12
FIN_02,吸收投资者投资收到的现金,FINANCING,INFLOW,13
FIN_03,偿还借款本金支付的现金,FINANCING,OUTFLOW,14
FIN_04,偿还借款利息支付的现金,FINANCING,OUTFLOW,15
FIN_05,分配利润支付的现金,FINANCING,OUTFLOW,16
